综合娱乐,#genre#
金光布袋戲,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=236
戲劇免費看 1台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=270
采昌影劇台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=25
HITS頻道,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=186
我的成長-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=390
中國傳奇故事-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=458
武媚娘傳奇-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=455
花千骨-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=397
台灣傳奇-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=419
女力故事館-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=456
怪獸之王-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=438
以家人之名-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=383
加油喜事-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=384
去有風的地方-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=386
別打擾我種田-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=398
5566偶像劇-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=399
不敗愛情偶像劇-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=401
小資女孩向前衝-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=420
以愛為營-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=424
新兵日記-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=382
台灣靈異事件-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=326
戲說台灣-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=342
飛龍在天-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=417
花系列戲劇-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=329

电影频道,#genre#

靖天映畫,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=42
amc電影台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=39
My Cinema Europe HD 我的歐洲電影,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=463
靖天電影台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=82
經典電影台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=201
影迷數位電影台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=40
ROCK Entertainment,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=275
ROCK Action,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=180
CinemaWorld,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=225

儿童卡通,#genre#

尼克兒童頻道,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=185
精選動漫台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=204
